epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
72,68.1569,0.02357,0.91494,0.99793,0.35369,0.0002971,0.0002971,0.0002971
73,69.1709,0.02687,0.91701,0.99585,0.38846,0.0002872,0.0002872,0.0002872
74,70.1963,0.02275,0.92531,0.99585,0.34319,0.0002773,0.0002773,0.0002773
75,71.048,0.02402,0.91909,0.99585,0.3439,0.0002674,0.0002674,0.0002674
76,71.9157,0.0301,0.92116,0.99793,0.38435,0.0002575,0.0002575,0.0002575
77,72.8059,0.02268,0.92324,0.99793,0.37035,0.0002476,0.0002476,0.0002476
78,73.6818,0.01916,0.91909,0.99793,0.37752,0.0002377,0.0002377,0.0002377
79,74.6574,0.02622,0.91909,0.99793,0.35807,0.0002278,0.0002278,0.0002278
80,75.5587,0.02272,0.91909,0.99793,0.37672,0.0002179,0.0002179,0.0002179
81,76.4239,0.02189,0.91494,0.99793,0.37556,0.000208,0.000208,0.000208
82,77.2659,0.01581,0.91909,0.99585,0.37845,0.0001981,0.0001981,0.0001981
83,78.2528,0.01735,0.91909,0.99793,0.38513,0.0001882,0.0001882,0.0001882
84,79.1273,0.01729,0.91909,0.99793,0.40608,0.0001783,0.0001783,0.0001783
85,79.9959,0.01828,0.91286,0.99793,0.41061,0.0001684,0.0001684,0.0001684
86,80.9318,0.02072,0.90456,0.99793,0.43114,0.0001585,0.0001585,0.0001585
87,81.7963,0.01461,0.90871,0.99585,0.39514,0.0001486,0.0001486,0.0001486
88,82.8176,0.01007,0.90664,0.99585,0.40286,0.0001387,0.0001387,0.0001387
89,84.0822,0.01492,0.91079,0.99585,0.40848,0.0001288,0.0001288,0.0001288
90,84.9571,0.01031,0.91286,0.99585,0.41815,0.0001189,0.0001189,0.0001189
91,86.7423,0.01512,0.91286,0.99585,0.3901,0.000109,0.000109,0.000109
92,87.6136,0.01794,0.91079,0.99793,0.4499,9.91e-05,9.91e-05,9.91e-05
93,88.5292,0.00953,0.90871,0.99793,0.44083,8.92e-05,8.92e-05,8.92e-05
94,89.4324,0.02182,0.91909,0.99793,0.39098,7.93e-05,7.93e-05,7.93e-05
95,90.3972,0.01791,0.91494,0.99793,0.38855,6.94e-05,6.94e-05,6.94e-05
96,91.3188,0.01207,0.92116,0.99793,0.39649,5.95e-05,5.95e-05,5.95e-05
97,92.2942,0.01315,0.92116,0.99793,0.37637,4.96e-05,4.96e-05,4.96e-05
98,93.3244,0.01223,0.92531,0.99793,0.37003,3.97e-05,3.97e-05,3.97e-05
99,94.205,0.01276,0.92116,0.99793,0.38191,2.98e-05,2.98e-05,2.98e-05
100,95.12,0.01344,0.92116,0.99793,0.39397,1.99e-05,1.99e-05,1.99e-05
