epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
27,26.9047,0.06982,0.89212,1,0.41982,0.0007426,0.0007426,0.0007426
28,27.8059,0.10156,0.91079,0.99793,0.42022,0.0007327,0.0007327,0.0007327
29,28.8183,0.06919,0.91079,1,0.3649,0.0007228,0.0007228,0.0007228
30,29.692,0.0789,0.90664,1,0.40756,0.0007129,0.0007129,0.0007129
31,30.5488,0.06471,0.89212,0.99585,0.5231,0.000703,0.000703,0.000703
32,31.4417,0.08132,0.89627,1,0.49187,0.0006931,0.0006931,0.0006931
33,32.2994,0.05987,0.88382,0.99793,0.46461,0.0006832,0.0006832,0.0006832
34,33.3006,0.05996,0.91494,0.99793,0.32901,0.0006733,0.0006733,0.0006733
35,34.1361,0.05265,0.90249,0.99793,0.40558,0.0006634,0.0006634,0.0006634
36,35.1735,0.07453,0.91494,1,0.37047,0.0006535,0.0006535,0.0006535
37,36.1101,0.06683,0.90871,0.99793,0.44696,0.0006436,0.0006436,0.0006436
38,36.9701,0.05272,0.91286,0.99793,0.45039,0.0006337,0.0006337,0.0006337
39,37.9056,0.06314,0.90664,0.99793,0.39737,0.0006238,0.0006238,0.0006238
40,38.8208,0.05225,0.90249,1,0.40237,0.0006139,0.0006139,0.0006139
41,39.7095,0.04943,0.92116,0.99793,0.34944,0.000604,0.000604,0.000604
42,40.5867,0.06059,0.89419,0.99585,0.43683,0.0005941,0.0005941,0.0005941
43,41.5353,0.06128,0.91079,1,0.40468,0.0005842,0.0005842,0.0005842
44,42.387,0.04803,0.91494,0.99793,0.36327,0.0005743,0.0005743,0.0005743
45,43.3204,0.05671,0.89627,0.99585,0.45326,0.0005644,0.0005644,0.0005644
46,44.2876,0.04393,0.91286,0.99793,0.40671,0.0005545,0.0005545,0.0005545
47,45.2561,0.04329,0.90871,0.99793,0.4454,0.0005446,0.0005446,0.0005446
48,46.1157,0.03409,0.90456,0.99585,0.41441,0.0005347,0.0005347,0.0005347
49,47.0301,0.05521,0.91494,0.99793,0.36826,0.0005248,0.0005248,0.0005248
50,47.9248,0.0429,0.91286,0.99793,0.37561,0.0005149,0.0005149,0.0005149
51,48.7874,0.03507,0.92324,0.99793,0.36602,0.000505,0.000505,0.000505
52,49.8247,0.03868,0.91079,0.99793,0.36394,0.0004951,0.0004951,0.0004951
53,50.7053,0.05398,0.91079,0.99793,0.38644,0.0004852,0.0004852,0.0004852
54,51.7954,0.04115,0.90664,0.99793,0.37956,0.0004753,0.0004753,0.0004753
55,52.7735,0.03983,0.91701,0.99793,0.38261,0.0004654,0.0004654,0.0004654
56,53.7925,0.02852,0.91701,0.99793,0.36961,0.0004555,0.0004555,0.0004555
57,54.6957,0.02982,0.92324,0.99793,0.38399,0.0004456,0.0004456,0.0004456
58,55.571,0.02803,0.90664,0.99793,0.38733,0.0004357,0.0004357,0.0004357
59,56.5202,0.02529,0.91494,0.99793,0.36266,0.0004258,0.0004258,0.0004258
60,57.4192,0.02996,0.89627,0.99585,0.44853,0.0004159,0.0004159,0.0004159
61,58.3023,0.0403,0.89627,0.99585,0.38154,0.000406,0.000406,0.000406
62,59.2073,0.02159,0.90871,0.99793,0.4025,0.0003961,0.0003961,0.0003961
63,60.1086,0.03182,0.90871,0.99793,0.40036,0.0003862,0.0003862,0.0003862
64,61.005,0.02891,0.91286,0.99793,0.38957,0.0003763,0.0003763,0.0003763
65,62.0236,0.02573,0.91286,0.99793,0.38718,0.0003664,0.0003664,0.0003664
66,62.9658,0.019,0.91701,0.99793,0.36863,0.0003565,0.0003565,0.0003565
67,63.8996,0.02507,0.92324,0.99793,0.36743,0.0003466,0.0003466,0.0003466
68,64.7691,0.02747,0.92116,0.99793,0.35314,0.0003367,0.0003367,0.0003367
69,65.9944,0.0301,0.91079,0.99793,0.44507,0.0003268,0.0003268,0.0003268
70,66.8258,0.02253,0.90871,0.99793,0.4438,0.0003169,0.0003169,0.0003169
71,67.7486,0.02592,0.91494,0.99793,0.39777,0.000307,0.000307,0.000307
72,68.6706,0.02357,0.91494,0.99793,0.35369,0.0002971,0.0002971,0.0002971
73,69.6537,0.02687,0.91701,0.99585,0.38846,0.0002872,0.0002872,0.0002872
74,70.634,0.02275,0.92531,0.99585,0.34319,0.0002773,0.0002773,0.0002773
75,71.4743,0.02402,0.91909,0.99585,0.3439,0.0002674,0.0002674,0.0002674
76,72.3506,0.0301,0.92116,0.99793,0.38435,0.0002575,0.0002575,0.0002575
77,73.244,0.02268,0.92324,0.99793,0.37035,0.0002476,0.0002476,0.0002476
78,74.1221,0.01916,0.91909,0.99793,0.37752,0.0002377,0.0002377,0.0002377
79,75.1117,0.02622,0.91909,0.99793,0.35807,0.0002278,0.0002278,0.0002278
80,76.0042,0.02272,0.91909,0.99793,0.37672,0.0002179,0.0002179,0.0002179
81,76.8814,0.02189,0.91494,0.99793,0.37556,0.000208,0.000208,0.000208
82,77.7422,0.01581,0.91909,0.99585,0.37845,0.0001981,0.0001981,0.0001981
83,78.6912,0.01735,0.91909,0.99793,0.38513,0.0001882,0.0001882,0.0001882
84,79.5774,0.01729,0.91909,0.99793,0.40608,0.0001783,0.0001783,0.0001783
85,80.447,0.01828,0.91286,0.99793,0.41061,0.0001684,0.0001684,0.0001684
86,81.3546,0.02072,0.90456,0.99793,0.43114,0.0001585,0.0001585,0.0001585
87,82.2616,0.01461,0.90871,0.99585,0.39514,0.0001486,0.0001486,0.0001486
88,83.2401,0.01007,0.90664,0.99585,0.40286,0.0001387,0.0001387,0.0001387
89,84.4867,0.01492,0.91079,0.99585,0.40848,0.0001288,0.0001288,0.0001288
90,85.339,0.01031,0.91286,0.99585,0.41815,0.0001189,0.0001189,0.0001189
91,87.0812,0.01512,0.91286,0.99585,0.3901,0.000109,0.000109,0.000109
92,87.9307,0.01794,0.91079,0.99793,0.4499,9.91e-05,9.91e-05,9.91e-05
93,88.826,0.00953,0.90871,0.99793,0.44083,8.92e-05,8.92e-05,8.92e-05
94,89.6824,0.02182,0.91909,0.99793,0.39098,7.93e-05,7.93e-05,7.93e-05
95,90.6466,0.01791,0.91494,0.99793,0.38855,6.94e-05,6.94e-05,6.94e-05
96,91.5614,0.01207,0.92116,0.99793,0.39649,5.95e-05,5.95e-05,5.95e-05
97,92.5311,0.01315,0.92116,0.99793,0.37637,4.96e-05,4.96e-05,4.96e-05
98,93.505,0.01223,0.92531,0.99793,0.37003,3.97e-05,3.97e-05,3.97e-05
99,94.3406,0.01276,0.92116,0.99793,0.38191,2.98e-05,2.98e-05,2.98e-05
100,95.21,0.01344,0.92116,0.99793,0.39397,1.99e-05,1.99e-05,1.99e-05
