epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,49.436,0.12654,0.88328,0.99652,0.36673,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,50.6291,0.13017,0.89373,0.99652,0.37017,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,51.7981,0.14781,0.89373,0.99652,0.35626,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,52.9645,0.12523,0.89024,0.99652,0.35474,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,54.1072,0.11822,0.89895,0.99652,0.35906,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,55.2675,0.12332,0.89373,0.99652,0.35186,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,56.4053,0.11007,0.89547,0.99652,0.35205,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,57.5414,0.1303,0.88502,0.99652,0.35588,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,58.6981,0.11162,0.89721,0.99652,0.35147,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,59.8716,0.11923,0.89721,0.99652,0.35227,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,61.0115,0.10299,0.89547,0.99652,0.35422,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,62.1671,0.11707,0.89199,0.99652,0.35925,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,63.3318,0.11065,0.89721,0.99652,0.36079,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,64.4596,0.10946,0.89721,0.99652,0.35114,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,65.6388,0.11088,0.89373,0.99652,0.34809,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,66.8126,0.09704,0.89721,0.99652,0.34714,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,67.9712,0.09574,0.89547,0.99652,0.34178,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,69.0998,0.11418,0.89373,0.99652,0.34634,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,70.2506,0.1016,0.89721,0.99652,0.33927,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,71.4151,0.08517,0.89895,0.99652,0.33771,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,72.5726,0.09464,0.89721,0.99652,0.35082,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,73.7082,0.10074,0.90244,0.99652,0.34344,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,74.9056,0.09751,0.89547,0.99652,0.35022,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,76.0493,0.08984,0.9007,0.99652,0.34734,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,77.1921,0.09068,0.90418,0.99652,0.34264,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,78.3653,0.08275,0.90244,0.99652,0.34523,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,79.5169,0.08327,0.9007,0.99652,0.34466,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,80.6785,0.08543,0.90767,0.99826,0.33583,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,81.8023,0.08307,0.89373,0.99826,0.34695,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,82.9763,0.07456,0.9007,0.99652,0.34356,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,84.1368,0.09036,0.90244,0.99652,0.33986,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,85.2874,0.08645,0.9007,0.99652,0.34663,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,86.4362,0.08057,0.89721,0.99652,0.34367,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,87.6089,0.08313,0.89721,0.99652,0.3379,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,88.7653,0.09089,0.89199,0.99826,0.34014,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,89.9272,0.09294,0.89721,0.99652,0.34092,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,91.0785,0.08079,0.89895,0.99652,0.33567,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
79,92.2724,0.09495,0.90767,0.99652,0.33474,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,93.4087,0.08214,0.89721,0.99652,0.34216,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
81,94.555,0.08628,0.89895,0.99652,0.33982,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
82,95.7108,0.07735,0.90244,0.99652,0.33964,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
83,96.8864,0.08097,0.9007,0.99652,0.34578,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
84,98.0036,0.07231,0.9007,0.99652,0.34073,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,99.182,0.07528,0.90418,0.99652,0.33591,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
86,100.334,0.07751,0.90418,0.99652,0.3363,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
87,101.483,0.07487,0.90592,0.99652,0.33317,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
88,102.623,0.07464,0.90244,0.99652,0.34351,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387
89,103.788,0.07869,0.89895,0.99652,0.33998,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
90,105.042,0.06995,0.89895,0.99652,0.34379,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189,0.0003567,0.0001189
91,106.78,0.06979,0.9007,0.99652,0.34269,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
92,107.937,0.08082,0.9007,0.99652,0.34203,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05,0.0002973,9.91e-05
93,109.1,0.0761,0.89895,0.99652,0.33997,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
94,110.231,0.06415,0.89895,0.99652,0.3456,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05,0.0002379,7.93e-05
95,111.384,0.05959,0.89721,0.99652,0.34243,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
96,112.513,0.08441,0.89721,0.99652,0.34416,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
97,113.635,0.06958,0.89721,0.99652,0.34172,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
98,114.787,0.07862,0.89721,0.99652,0.34593,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05,0.0001191,3.97e-05
99,115.917,0.07477,0.89895,0.99652,0.34075,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
100,117.027,0.08288,0.90418,0.99652,0.342,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05,5.97e-05,1.99e-05
